,price,currency,ad_situation,rooms,bath,building_space,measuring_unit,price/m2,brokered_by,direction,city,state,postal_code,índice_poder_adqui,índice_seguridad,índice_sanidad,índice_clima,índice_costo_vida,relación_precio_ingresos_propiedades,índice_costo_desplazamiento,índice_contaminación,índice_calidad_vida,latidud_,longitud_
0,289900,USD,New,3,2,181.0,m2,1602.0,Greene Realty Group LLC,"5142 Puget Rd NE, Olympia",Olympia,Washington,98516,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.1342656625,-122.73493423336308
1,146999,USD,Old,3,2,124.0,m2,1185.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
2,299900,USD,New,4,2,240.0,m2,1250.0,RE/MAX PARKSIDE AFFILIATES,"2736 113th Way SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
3,272900,USD,New,3,1,101.0,m2,2702.0,Blue Summit Realty LLC,"8339 Daycrest Dr SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
4,595000,USD,New,3,2,236.0,m2,2521.0,"Coldwell Banker Evergreen Olympic Realty, Inc","5711 73rd Ave NE, Olympia",Olympia,Washington,98516,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.1342656625,-122.73493423336308
5,299000,USD,New,4,2,154.0,m2,1942.0,Greene Realty Group LLC,"7010 Meridian Rd SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
6,289950,USD,New,3,2,98.0,m2,2959.0,"VAN DORM REALTY, INC","5348 75th Ct SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
7,350000,USD,New,3,2,141.0,m2,2482.0,Greene Realty Group LLC,"3637 Mapleview Dr NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
8,148499,USD,Old,3,2,131.0,m2,1134.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
9,419900,USD,New,4,3,222.0,m2,1891.0,"VAN DORM REALTY, INC","11108 Pilchuck Ct SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
10,415000,USD,New,5,3,289.0,m2,1436.0,Keller Williams South Sound,"8601 15th Ave SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
11,540000,USD,New,3,3,178.0,m2,3034.0,"Coldwell Banker Evergreen Olympic Realty, Inc","1229 Bing St NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
12,329000,USD,New,3,2,138.0,m2,2384.0,"VAN DORM REALTY, INC","9639 Glory Dr SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
13,349900,USD,New,3,2,167.0,m2,2095.0,Keller Williams South Sound,"4405 Gallagher Way NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
14,324500,USD,New,3,2,135.0,m2,2404.0,Sound Advantage Realty,"6724 50th Ct SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
15,399999,USD,New,5,3,246.0,m2,1626.0,Greene Realty Group LLC,"1705 Butler Ct NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
16,639000,USD,New,3,2,148.0,m2,4318.0,Keller Williams South Sound,"5425 Boulevard Extension Rd SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
17,325000,USD,New,3,2,119.0,m2,2731.0,Northwest Home Team Realty,"2502 Leach Ct SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
18,419900,USD,New,4,2,239.0,m2,1757.0,John L. Scott - Olympia,"538 Meadowwood Dr SW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
