,City,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
0,Olympia,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
1,Portland,"103,67","48,14","73,18","89,56","78,48","4,66","33,38","30,83","174,92"
2,Seattle,"145,56","49,23","74,06","91,73","89,21","4,42","41,94","29,06","189,35"
3,Anaheim,"95,65","46,76","74,07","95,41","74,38","5,23","41,89","48,68","157,01"
4,Bellevue,"193,53","76,45","80,56","91,73","84,97","3,34","28,60","12,15","244,20"
5,Irvine,"130,49","78,56","77,62","96,82","77,61","4,38","22,95","35,66","207,40"
6,Long Beach,"107,76","42,90","79,28","96,09","70,00","9,24","35,45","44,22","164,86"
7,Los Ángeles,"124,93","49,78","61,71","95,50","78,53","6,35","61,07","67,59","141,59"
8,Pasadena,"105,63","80,05","86,85","67,71","76,36","6,85","43,00","40,67","176,49"
9,Redmond,"143,51","85,14","80,09","91,70","84,84","3,89","31,14","18,23","222,48"
10,Tacoma,"88,87","45,88","73,19","90,88","76,19","9,50","44,73","30,71","158,10"
11,Vancouver,"88,24","62,57","74,77","91,15","74,52","11,79","36,90","25,17","172,40"
