,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
0,289900,USD,Greene Realty Group LLC,New - 7 hours ago,3,2.0,1944,sqft,"5142 Puget Rd NE, Olympia, WA 98516",Olympia, WA 98516,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
1,146999,USD,Adair Homes,Old,3,2.0,1340,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
2,299900,USD,RE/MAX PARKSIDE AFFILIATES,New - 7 hours ago,4,2.5,2580,sqft,"2736 113th Way SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
3,272900,USD,Blue Summit Realty LLC,New - 7 hours ago,3,1.0,1086,sqft,"8339 Daycrest Dr SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
4,595000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New - 7 hours ago,3,2.0,2542,sqft,"5711 73rd Ave NE, Olympia, WA 98516",Olympia, WA 98516,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
5,299000,USD,Greene Realty Group LLC,New - 7 hours ago,4,2.0,1663,sqft,"7010 Meridian Rd SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
6,289950,USD,"VAN DORM REALTY, INC",New - 7 hours ago,3,2.0,1060,sqft,"5348 75th Ct SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
7,350000,USD,Greene Realty Group LLC,New - 7 hours ago,3,2.0,1520,sqft,"3637 Mapleview Dr NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
8,148499,USD,Adair Homes,Old,3,2.0,1405,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
9,419900,USD,"VAN DORM REALTY, INC",New,4,3.0,2391,sqft,"11108 Pilchuck Ct SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
10,415000,USD,Keller Williams South Sound,New - 7 hours ago,5,3.0,3111,sqft,"8601 15th Ave SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
11,540000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New - 7 hours ago,3,3.0,1920,sqft,"1229 Bing St NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
12,329000,USD,"VAN DORM REALTY, INC",New,3,2.0,1488,sqft,"9639 Glory Dr SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
13,349900,USD,Keller Williams South Sound,New - 7 hours ago,3,2.5,1800,sqft,"4405 Gallagher Way NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
14,324500,USD,Sound Advantage Realty,New,3,2.0,1451,sqft,"6724 50th Ct SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
15,399999,USD,Greene Realty Group LLC,New - 7 hours ago,5,3.0,2648,sqft,"1705 Butler Ct NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
16,639000,USD,Keller Williams South Sound,New,3,2.0,1596,sqft,"5425 Boulevard Extension Rd SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
