,Unnamed: 0,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
0,0,289900,USD,Greene Realty Group LLC,New - 7 hours ago,3,2.0,1944,sqft,"5142 Puget Rd NE, Olympia, WA 98516",Olympia, WA 98516,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
1,4,146999,USD,Adair Homes,Old,3,2.0,1340,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
2,6,299900,USD,RE/MAX PARKSIDE AFFILIATES,New - 7 hours ago,4,2.5,2580,sqft,"2736 113th Way SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
3,7,272900,USD,Blue Summit Realty LLC,New - 7 hours ago,3,1.0,1086,sqft,"8339 Daycrest Dr SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
4,8,595000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New - 7 hours ago,3,2.0,2542,sqft,"5711 73rd Ave NE, Olympia, WA 98516",Olympia, WA 98516,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
5,9,299000,USD,Greene Realty Group LLC,New - 7 hours ago,4,2.0,1663,sqft,"7010 Meridian Rd SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
6,11,289950,USD,"VAN DORM REALTY, INC",New - 7 hours ago,3,2.0,1060,sqft,"5348 75th Ct SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
7,13,350000,USD,Greene Realty Group LLC,New - 7 hours ago,3,2.0,1520,sqft,"3637 Mapleview Dr NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
8,15,148499,USD,Adair Homes,Old,3,2.0,1405,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
9,19,419900,USD,"VAN DORM REALTY, INC",New,4,3.0,2391,sqft,"11108 Pilchuck Ct SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
10,21,415000,USD,Keller Williams South Sound,New - 7 hours ago,5,3.0,3111,sqft,"8601 15th Ave SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
11,23,540000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New - 7 hours ago,3,3.0,1920,sqft,"1229 Bing St NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
12,24,329000,USD,"VAN DORM REALTY, INC",New,3,2.0,1488,sqft,"9639 Glory Dr SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
13,28,349900,USD,Keller Williams South Sound,New - 7 hours ago,3,2.5,1800,sqft,"4405 Gallagher Way NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
14,32,324500,USD,Sound Advantage Realty,New,3,2.0,1451,sqft,"6724 50th Ct SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
15,33,399999,USD,Greene Realty Group LLC,New - 7 hours ago,5,3.0,2648,sqft,"1705 Butler Ct NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
16,36,639000,USD,Keller Williams South Sound,New,3,2.0,1596,sqft,"5425 Boulevard Extension Rd SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
17,37,325000,USD,Northwest Home Team Realty,New,3,2.0,1286,sqft,"2502 Leach Ct SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
18,42,419900,USD,John L. Scott - Olympia,New - 7 hours ago,4,2.5,2573,sqft,"538 Meadowwood Dr SW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
19,44,399000,USD,Berkshire Hathaway Sound Rltrs,New,2,1.0,2028,sqft,"1102 San Francisco Ave NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
20,55,199999,USD,eXp Realty Washington,New,3,2.0,1152,sqft,"11508 Entree View Dr SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
21,57,152499,USD,Adair Homes,New,4,2.0,1485,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
22,58,155499,USD,Adair Homes,New,3,2.0,1560,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
23,59,230000,USD,Virgil Adams Real Estate,New,2,1.0,584,sqft,"1510 8th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
24,60,234000,USD,"VAN DORM REALTY, INC",New,2,1.0,744,sqft,"11337 Scott Creek Dr SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
25,63,309000,USD,Windermere Professional Partners,New,3,2.0,1211,sqft,"1725 Mapleridge Ct NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
26,64,299000,USD,RE/MAX Key Land Co.,New,3,2.0,1146,sqft,"8825 Quinault Dr NE, Olympia, WA 98516",Olympia, WA 98516,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
27,68,280000,USD,"VAN DORM REALTY, INC",New,2,1.0,1020,sqft,"1413 7th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
28,70,379900,USD,"RE/MAX Northwest Realtors - Olympia, WA",New,3,3.0,2222,sqft,"4230 14th Ave NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
29,73,300000,USD,Keller Williams Eastside,New,3,2.0,1220,sqft,"7637 Greenridge SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
30,77,379900,USD,"VAN DORM REALTY, INC",New,4,2.5,2320,sqft,"6332 Tralee Dr NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
31,78,419500,USD,Windermere Real Estate Olympia,New,4,2.5,2298,sqft,"1717 15th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
32,81,599900,USD,Greene Realty Group LLC,New,3,2.5,3418,sqft,"3517 Frog Leap Ln NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
33,83,429950,USD,Windermere Professional Partners,New,4,2.0,2912,sqft,"2124 Division St NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
34,84,350000,USD,"VAN DORM REALTY, INC",New,3,2.5,1668,sqft,"2937 Langridge Loop NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
35,89,335000,USD,Riley Jackson Real Estate Inc.,New,3,2.0,1678,sqft,"8241 Sweetbrier SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
36,90,443500,USD,Wilcox Real Estate,New,4,2.5,2916,sqft,"1225 Kiely Dr SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
37,92,349900,USD,Better Properties Hometown,New,3,2.0,1484,sqft,"9325 3rd Way SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
38,93,520000,USD,Weichert Realtors Premier Prop,New,3,2.0,1848,sqft,"12424 Waddell Creek Rd SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
39,97,379950,USD,Abbey Realty Inc,New,4,2.5,1779,sqft,"2924 Applehill Ct NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
40,98,725000,USD,Keller Williams Realty Puget Sound,New,2,2.0,2586,sqft,"1917 Summit Lake Shore Rd NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
